Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
Esperanza Health Centers,4647 W 47th St RM 200,,773-584-6200,,,Chicago,IL,60632-4847,-87.74017901,41.80763254
"Flathead Community Health Center ,Inc",2155 Airport Rd Rm 113/114,greatervalleyhealth.org,406-607-4900,,,Kalispell,MT,59901-7504,-114.3093088,48.17080999
COMMUNITY HEALTH CENTER OF SOUTHEAST KANSAS INC,206 W Magnolia St,,620-457-8315,,,Cherokee,KS,66724-5094,-94.82258201,37.34554746
"Teche Action Board, Inc.",393 Greenwood Dr,,337-828-2550,,,La Place,LA,70068-2535,-90.49221054,30.08040464
"MOBILE MEDICAL CARE, INC.",981 Rollins Ave,mobilemedicalcare.org,301-493-2400,kluton@mobilemedicalcare.org,,Rockville,MD,20852-5615,-77.11644983,39.05834487
"Sunset Park Health Council, Inc.",153 35th St,,718-840-1900,,,Brooklyn,NY,11232-2307,-74.0045656,40.65546304
"BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.",5138 Utsa Blvd STE 116,www.communicaresa.org,210-233-7000,,,San Antonio,TX,78249-3537,-98.58681292,29.57968492
"Axis Community Health, Inc.",4361 Railroad Ave,http://www.axishealth.org,925-462-1755,,,Pleasanton,CA,94566-6611,-121.873756,37.66132955
Mountain Family Health Centers,123 Emma Rd,www.mountainfamily.org,970-945-2840,drigli@mountainfamily.org,,Basalt,CO,81621-9169,-107.0337188,39.36481256
"RICHFORD HEALTH CENTER, INC.",26 Canada St,,802-868-2454,,,Swanton,VT,05488-1335,-73.12312944,44.92005217
"Community Health Center, Incorporated",757 Farmington Ave,,860-347-6971,mark@chc1.com,,New Britain,CT,06053-1364,-72.78778902,41.69955398
Omni Family Health,4900 California Ave STE 100B,www.OmniFamilyHealth.org,866-707-6664,,,Bakersfield,CA,93309-7027,-119.0557862,35.36466499
"Nevada Health Centers, Inc.",2225 Civic Center Dr STE 224,www.nvhealthcenters.org,877-581-6266,dtoney@nvhealthcenters.org,,North Las Vegas,NV,89030-6332,-115.1188993,36.19965048
Access Community Health Network,245 S Gary Ave Lowr Level,www.accesscommunityhealth.net,630-893-5230,,,Bloomingdale,IL,60108-2228,-88.11947438,41.94309998
"Regional Health Care Clinic, Inc.",816 Westwood Dr,,660-851-7756,,,Sedalia,MO,65301-2182,-93.27352508,38.70832918
"BOUNDARY REGIONAL COMMUNITY HEALTH CENTER, INC.",301 Cedar St,,208-263-3410,,,Sandpoint,ID,83864-1425,-116.5506798,48.27609252
"Family Health Network Of Central New York, Inc.",2809 Cincinnatus Rd,www.familyhealthnetwork.org,607-863-3200,,,Cincinnatus,NY,13040-9685,-75.89561376,42.54297922
MEDLINK GEORGIA INC,25 Old Blairsville Rd,www.mlgfhc.org,706-969-7510,,,Cleveland,GA,30528-1129,-83.76630187,34.60164521
"LA CLINICA DE LA RAZA, INC.",1600 Harbor Bay Pkwy Ste 120,,510-535-6271,paguilera@laclinica.org,,Alameda,CA,94502-3085,-122.240725,37.72511738
SOUTH CENTRAL MISSOURI COMMUNITY HEALTH CENTER,246 College St,,573-265-8402,mmundell@your-chc.org,,Bourbon,MO,65441-8308,-91.24714752,38.15332597
Greater Ouachita Coalition Providing Aids Resources & Education Inc,2916 Cypress St Ste 3,www.go-care.org,318-325-1092,mark@go-care.org,,West Monroe,LA,71291-5333,-92.14910509,32.51801715
"CASCADIA BEHAVIORAL HEALTHCARE, INC.",847 NE 19th Ave STE 100,https://cascadiabhc.org/,503-238-0769,derald.walker@cascadiabhc.org,,Portland,OR,97232-2684,-122.6465375,45.529081
"Clinicas del Camino Real, Inc.",1000 Newbury Rd STE 170,,805-498-3640,,,Newbury Park,CA,91320-6439,-118.9044482,34.18352591
"Family Health Centers Of Georgia, Inc., The",805 Campbell Hill St NW,fhcga.org,770-919-0025,,,Marietta,GA,30060-1144,-84.55246999,33.97097749
LOWER LIGHTS CHRISTIAN HEALTH Center Inc,1160 W Broad St,www.llchc.org,614-274-1455,,,Columbus,OH,43222-1352,-83.03166326,39.95849728
"Sacramento, County Of",401 N 12th St,,916-874-9456,mishras@saccounty.net,,Sacramento,CA,95811-0511,-121.4816697,38.5923292
NORTHLAND HEALTH PARTNERS COMMUNITY,18 Main St SW STE B,http://www.northlandchc.org/,701-377-6400,,,Bowbells,ND,58721-7711,-102.2469197,48.80261447
Heartland Community Health Clinic,19 Olt Ave,hhsil.com,309-680-7600,t.bartlett@hhsil.com,,Pekin,IL,61554-6214,-89.60517451,40.5499397
"Sacramento, County Of",6201 41st St,https://www.scusd.edu/school/pacific,916-433-5089,mishras@saccounty.net,,Sacramento,CA,95824-3736,-121.4587905,38.51318128
"Goshen Medical Center, Inc.",400 Mercer Mill Rd,,910-879-3216,,,Elizabethtown,NC,28337-3951,-78.60510517,34.62075893
DENA' NENA' HENASH,303 Easton Road,www.tananachiefs.org,907-452-8251,jacoline.bergstrom@tananachiefs.org,,Tetlin,AK,99779,-142.52388,63.13505
"Bond Community Health Center, Inc.",1720 S Gadsden St,www.bondchc.com,850-576-4073,,,Tallahassee,FL,32301-5506,-84.27827564,30.42525123
"GEORGIA MOUNTAINS HEALTH SERVICES, INC.",165 Blue Ridge Overlook,,706-946-4647,,,Blue Ridge,GA,30513-4431,-84.3259001,34.87523648
"NEIGHBORHEALTH CENTER, INC.",4201 Lake Boone Trl STE 5,www.NeighborHealthCenter.org,984-222-8000 x98422,Dlipparelli@neighborhealthcenter.org,,Raleigh,NC,27607-7511,-78.70032443,35.81545065
"Gulf Coast Health Center, Inc.",2548 Memorial Blvd,www.gulfcoasthc.org,409-983-1161,mthigpen@gulfcoasthc.org,,Port Arthur,TX,77640-2825,-93.93605611,29.90408301
