Health Center Name,Address,Website,Phone Number,Email,,City,State,Zip,Latitude,Longitude
"PREFERRED FAMILY HEALTHCARE, INCORPORATED","900 E Laharpe St, 900 E Laharpe St, Kirksville, MO 63501-4520",,,,,Kirksville,MO,63501-4520,40.179261,-92.582842
"C W Williams Community Health Center Inc, The","3333 Wilkinson Blvd, 3333 Wilkinson Blvd, Charlotte, NC 28208-5631",www.cwwilliams.org,704-393-7720 x1027,dweeks@cwwilliams.org,,Charlotte,NC,28208-5631,35.224172,-80.896101
YAP STATE DEPARTMENT OF HEALTH SERVICES,"148 Keng St., 148 Keng St., Colonia, FM 96943",,,,,Colonia,FM,96943,0,0
COLUMBIA VALLEY COMMUNITY HEALTH,"600 Orondo Ave Ste 1, 600 Orondo Ave Ste 1, Wenatchee, WA 98801-2800",www.cvch.org,509-622-6000 x1320,blake.edwards@cvch.org,,Wenatchee,WA,98801-2800,47.419291,-120.318091
"LAKES COMMUNITY HEALTH CENTER, INC., THE","7665 US Highway 2, 7665 US Highway 2, Iron River, WI 54847-4690",,,,,Iron River,WI,54847-4690,46.564968,-91.414776
MosaicMedical,"375 NW Beaver St Ste 101, 375 NW Beaver St Ste 101, Prineville, OR 97754-1802",www.mosaicmedical.org,,,,Prineville,OR,97754-1802,44.303447,-120.84911
Cornell Scott-Hill Health Corporation,"400 Columbus Ave, 400 Columbus Ave, New Haven, CT 06519-1233",www.cornellscott.org,,,,New Haven,CT,06519-1233,41.297243,-72.939657
"BREVARD HEALTH ALLIANCE, INC., THE","5270 Babcock St NE Ste 1, 5270 Babcock St NE Ste 1, Palm Bay, FL 32905-4616",,,,,Palm Bay,FL,32905-4616,28.01734,-80.623972
JOHNSON HEALTH CENTER,"320 Federal St, 320 Federal St, Lynchburg, VA 24504-2306",,434-455-2480 x1108,jsingh@jhcvirginia.org,,Lynchburg,VA,24504-2306,37.41635,-79.15138
Family Medical Center of Michigan Inc,"8765 Lewis Ave, 8765 Lewis Ave, Temperance, MI 48182-9583",,,,,Temperance,MI,48182-9583,41.775059,-83.568835
Neighborcare Health,"1200 12th Ave S Ste 901, 1200 12th Ave S Ste 901, Seattle, WA 98144-2712",www.neighborcare.org,,,,Seattle,WA,98144-2712,47.592803,-122.315985
Keystone Rural Health Center,"111 Chambers Hill Dr Ste 200, 111 Chambers Hill Dr Ste 200, Chambersburg, PA 17201-7304",http://www.keystonefamilymed.org,,,,Chambersburg,PA,17201-7304,39.944227,-77.641098
"Hudson River Healthcare, Inc.","1037 Main St, 1037 Main St, Peekskill, NY 10566-2913",,914-924-4923,lreid@hrhcare.org,,Peekskill,NY,10566-2913,41.291472,-73.918324
"Cabarrus Community Health Centers, Inc.","202 Mcgill Ave NW Apt D, 202 Mcgill Ave NW Apt D, Concord, NC 28025-4615",crchc.org,,,,Concord,NC,28025-4615,35.41729,-80.597207
"FAMILY HEALTH CARE CLINIC, INC.","4635 Highway 80 E, 4635 Highway 80 E, Pearl, MS 39208-4226",www.familyhealthcareclinic.com,,,,Pearl,MS,39208-4226,32.283164,-90.063199
