Family%20Medicine,Family Medicine,Medicina Familiar,Medicina familiar,Médecine générale,家庭科,家庭醫學科,پزشکی خانواده,Bác sĩ gia đình,కుటుంబ వైద్యం | Kuṭumba vaidyaṁ,Medicina di famiglia,???????? ????????,?? ??????/?? ???????,Medicin? de familie,???????????? ???????,?????? ????,Mjek�si familje,??????? ??????????
Internal%20Medicine,Internal Medicine,Medicina Interna,Medicina interna,Médecine interne,内科,一般內科,داخلی,Khoa nội,ప్రాథమిక చికిత్ | Prāthamika cikit,Medicina interna,??????????? ???????? (???????),?? ?????/ ?? ?????,Medicin? interna,????????? ?????????,??????? ????,Mjek�si e p�rgjithshme,??? ??????????
Pediatrics,Pediatrics,Pediatria,Pediatría,Pédiatrie,儿科,小兒科,اطفال,Khoa nhi,పిల్లల వైద్యుడు | Pillala vaidyuḍu,Pediatria,?????????,?? ?????,Pediatrie,???????????,??? ???,Pediatri,??????? ??????????
Obstetrics%20%26%20Gynecology,OB/GYN,Obstetrícia/Ginecologia,Obstetricia/ Ginecología,Gynécologie obstétrique,妇产科,婦產科,زنان و زایمان,Khoa phụ sản,గైనకాలజీ | Gainakālaji,Ginecologia,??????????/???????????,?? ????? ? ?????,Obstetric?-ginecologie,?????????? ????????????,??????? ??? ???????????,Obstetrik�/gjinekollogji,???????????-???????? ??????????
Psychiatry,Psychiatry,Psiquiatria,Psiquiatría,Psychiatrie,精神病科,精神科,روانپزشکی,Khoa tâm thần,మానసిక వైద్యుడు | Maanasika Vaidyudu,Psichiatria,??????????,?? ????,Psihiatrie,??????????,??????,Psikiatri,??????
General%20Surgery,General Surgery,Cirurgia Geral,Cirugía General,Chirurgie digestive,普通外科,一般外科,جراحی عمومی,Khoa ngoại tổng hợp,సర్జరీ | Sarjarī,Chirurgia generale,????? ????????,????? ????,Chirurgie generala,?????? ???????????,???? ?????,Kirurgji e p�rgjithshme,???? ????? ????????
Radiology,Radiology,Radiologia,Radiología,Radiologie médicale,放射科,放射科,رادیولوژی,Khoa chẩn đoán hình ảnh,రేడియాలజీ | Rēḍiyālajī,Radiologia,??????????,?? ??????,Radiologie,?????????? / ???????????,?????????,Radiologji,??????????????
Cardiology,Cardiology,Cardiologia,Cardiología,Cardiologie,心脏科,心臟科,قلب و عروق,Khoa tim mạch,కార్డియాలజీ | Kārḍiyālaji,Cardiologia,???????????,????? ?????,Cardiologie,???????????,??????????,Kardiologji,????????
Orthopedics,Orthopedic Surgery,Cirurgia Ortopédica,Cirugía Pediátrica,Orthopédie,骨科,骨科,جراحی ارتوپدی,Khoa ngoại chỉnh hình,ఆర్థోపెడిక్ సర్జరీ | Ārthōpeḍik Sarjarī,Chirurgia ortopedica,?????????????? ????????,????? ?????,Chirurgia ortopedic?,?????????? ???????????,????????? ?????,Kirurgji orthopedike,?????????? ????? ????????
Ophthalmology,Ophthalmology,Oftalmologia,Oftalmología,Ophtalmologie,眼科,眼科,چشم پزشکی,Khoa mắt,నేత్ర వైద్యం | Nētra vaidyaṁ,Oftalmologia,?????????????,????? ??????/????? ??????,Oftalmologie,????????????,????????????,Okulistik�,??? ??????????
Gastroenterology,Gastroenterology,Gastroenterologia,Gastroenterología,Gastro-entérologie,胃肠科,胃腸科,گوارش,Khoa tiêu hoá,గాస్ట్రోఎంటరోలాజి | Gyāsṭrō'eṇṭarālajī,Gastroenterologia,?????????????????,????? ?????? ??????,Gastroenterologie,????????????????,????????????????,Gastroenterologji,??????? ????? ????
